           0   4.22567083E-03
           1   3.52078211E-03
           2   3.00455629E-03
           3   2.62571243E-03
           4   2.34746444E-03
           5   2.14215717E-03
           6   1.98908523E-03
           7   1.87659613E-03
           8   1.79204356E-03
           9   1.72484317E-03
          10   1.66999642E-03
          11   1.62459991E-03
          12   1.58624980E-03
          13   1.55308854E-03
          14   1.52406446E-03
          15   1.49827520E-03
          16   1.47523650E-03
          17   1.45448884E-03
          18   1.43579685E-03
          19   1.41860649E-03
          20   1.40281441E-03
          21   1.38826261E-03
          22   1.37461745E-03
          23   1.36191712E-03
          24   1.34998828E-03
          25   1.33891555E-03
          26   1.32855889E-03
          27   1.31875696E-03
          28   1.30945817E-03
          29   1.30069989E-03
          30   1.29238924E-03
          31   1.28452387E-03
          32   1.27703720E-03
          33   1.26985472E-03
          34   1.26301602E-03
          35   1.25646428E-03
          36   1.25019299E-03
          37   1.24420971E-03
          38   1.23846612E-03
          39   1.23292988E-03
          40   1.22762192E-03
