           1          32
           2          36
           3          38
           4          40
           5          41
           6          43
           7          44
           8          45
           9          46
          10          47
          11          48
          12          49
          13          49
          14          50
          15          51
          16          52
          17          52
          18          53
          19          53
          20          54
          21          54
          22          55
          23          55
          24          56
          25          56
          26          56
          27          56
          28          57
          29          57
          30          57
          31          57
          32          57
          33          57
          34          57
          35          57
          36          57
          37          57
          38          56
          39          56
          40          56
          41          56
          42          55
          43          55
          44          54
          45          54
          46          53
          47          53
          48          52
          49          52
          50          51
          51          50
          52          49
          53          49
          54          48
          55          47
          56          46
          57          45
          58          44
          59          43
          60          41
          61          40
          62          38
          63          36
          64          32
