           0   6.15499390E-04
           1   3.90571338E-04
           2   2.62564659E-04
           3   1.90377134E-04
           4   1.49768064E-04
           5   1.26442377E-04
           6   1.12204849E-04
           7   1.02959893E-04
           8   9.66094376E-05
           9   9.20302919E-05
          10   8.85946938E-05
          11   8.59362772E-05
          12   8.38289416E-05
          13   8.21259018E-05
          14   8.07266697E-05
          15   7.95612796E-05
          16   7.85789962E-05
          17   7.77416426E-05
          18   7.70196057E-05
          19   7.63935968E-05
          20   7.58454044E-05
          21   7.53608983E-05
          22   7.49318424E-05
          23   7.45496291E-05
          24   7.42050688E-05
          25   7.38953313E-05
          26   7.36156071E-05
          27   7.33619017E-05
          28   7.31306354E-05
          29   7.29183594E-05
          30   7.27250299E-05
          31   7.25469436E-05
          32   7.23822159E-05
          33   7.22300538E-05
          34   7.20892640E-05
          35   7.19588206E-05
          36   7.18371739E-05
          37   7.17233197E-05
          38   7.16178256E-05
          39   7.15189890E-05
          40   7.14277339E-05
