           0   6.09848998E-04
           1   3.87796841E-04
           2   2.60888628E-04
           3   1.89100727E-04
           4   1.48838502E-04
           5   1.25810620E-04
           6   1.11795169E-04
           7   1.02706901E-04
           8   9.64662104E-05
           9   9.19649683E-05
          10   8.85847985E-05
          11   8.59668580E-05
          12   8.38907363E-05
          13   8.22119546E-05
          14   8.08324185E-05
          15   7.96839086E-05
          16   7.87140962E-05
          17   7.78886897E-05
          18   7.71781415E-05
          19   7.65600707E-05
          20   7.60200419E-05
          21   7.55439178E-05
          22   7.51203479E-05
          23   7.47441518E-05
          24   7.44056015E-05
          25   7.41022232E-05
          26   7.38270246E-05
          27   7.35770445E-05
          28   7.33488123E-05
          29   7.31400069E-05
          30   7.29492313E-05
          31   7.27750958E-05
          32   7.26127546E-05
          33   7.24642232E-05
          34   7.23260091E-05
          35   7.21977922E-05
          36   7.20781754E-05
          37   7.19677555E-05
          38   7.18643932E-05
          39   7.17666553E-05
          40   7.16748327E-05
